row,t,sig_ps,V1,V2,V3,V4,V5,V6
1,2.7868530540624517,0.51,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1
2,3.0768945674031545,0.59,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,grocery_1
3,1.9278314069654996,0.19,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,tennis_1
4,2.184343206845103,0.25,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,skiing_1
5,2.365505076620651,0.36,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,podcast_1
6,4.328530022674946,0.83,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,driving_1
7,5.231781554004249,0.97,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cook_at_home_1
8,5.128058446694581,0.92,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,dairy_products_1
9,4.016914333122479,0.76,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,go_to_gym_1
10,5.119117231329557,0.91,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,drink_coffee_1
11,4.428860756255529,0.81,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,cigarettes_1,grocery_1
12,1.2436754980113696,0.06,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,cigarettes_1,tennis_1
13,1.9316332106595266,0.22,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,cigarettes_1,skiing_1
14,2.856453148497579,0.46,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,cigarettes_1,podcast_1
15,4.278453170514407,0.81,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,cigarettes_1,driving_1
16,5.819041316816111,0.99,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,cigarettes_1,cook_at_home_1
17,5.426641963602363,0.98,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,cigarettes_1,dairy_products_1
18,4.273573468336359,0.83,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,cigarettes_1,go_to_gym_1
19,5.214768690511383,0.97,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,cigarettes_1,drink_coffee_1
20,3.2183882049592425,0.57,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,grocery_1,tennis_1
21,3.74290740019204,0.73,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,grocery_1,skiing_1
22,3.9966702490415162,0.84,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,grocery_1,podcast_1
23,6.213893611908697,0.97,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,grocery_1,driving_1
24,6.379676244960261,0.96,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,grocery_1,cook_at_home_1
25,6.80740898206188,0.97,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,grocery_1,dairy_products_1
26,4.6800865476762095,0.87,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,grocery_1,go_to_gym_1
27,5.8423573907563755,0.93,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,grocery_1,drink_coffee_1
28,1.9687329872702604,0.18,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,tennis_1,skiing_1
29,1.9730536083963428,0.16,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,tennis_1,podcast_1
30,3.160505947533146,0.6,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,tennis_1,driving_1
31,4.042445426445602,0.79,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,tennis_1,cook_at_home_1
32,3.3066105859755255,0.62,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,tennis_1,dairy_products_1
33,3.494375909073355,0.67,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,tennis_1,go_to_gym_1
34,3.8495733427378847,0.72,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,tennis_1,drink_coffee_1
35,2.3951897196068126,0.31,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,skiing_1,podcast_1
36,3.1079268328247185,0.62,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,skiing_1,driving_1
37,5.482649489496131,0.93,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,skiing_1,cook_at_home_1
38,3.8416696596304996,0.76,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,skiing_1,dairy_products_1
39,2.5579611311435166,0.41,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,skiing_1,go_to_gym_1
40,4.789384776353365,0.87,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,skiing_1,drink_coffee_1
41,5.513821389915908,0.93,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,podcast_1,driving_1
42,7.627653767310361,1,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,podcast_1,cook_at_home_1
