row,t,sig_ps,V1,V2,V3,V4,V5,V6,V7,V8
1,3.7834700601453974,0.93,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,grocery_1,tennis_1
2,2.9609022593884733,0.75,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,grocery_1,skiing_1
3,2.8118099209025362,0.57,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,grocery_1,podcast_1
4,3.9978173659366925,0.92,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,grocery_1,driving_1
5,4.7132856029565104,1,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,grocery_1,cook_at_home_1
6,5.101872643806396,0.98,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,grocery_1,dairy_products_1
7,3.91655598796915,0.91,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,grocery_1,go_to_gym_1
8,5.574166392969537,0.99,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,grocery_1,drink_coffee_1
9,1.9810641042157688,0.25,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,tennis_1,skiing_1
10,2.348407462775168,0.42,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,tennis_1,podcast_1
11,3.360950880712646,0.81,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,tennis_1,driving_1
12,4.354377464600492,0.96,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,tennis_1,cook_at_home_1
13,4.184798149971651,0.95,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,tennis_1,dairy_products_1
14,3.5617951602661733,0.76,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,tennis_1,go_to_gym_1
