row,t,sig_ps,V1,V2,V3,V4,V5,V6,V7,V8
1,1.8604698866820342,0.21,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,grocery_1,tennis_1
2,1.9303098632343008,0.2,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,grocery_1,skiing_1
3,1.994008854620715,0.25,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,grocery_1,podcast_1
4,3.190492866160638,0.73,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,grocery_1,driving_1
5,3.465273494287208,0.82,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,grocery_1,cook_at_home_1
6,3.80697104006205,0.88,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,grocery_1,dairy_products_1
7,2.6000632765212246,0.52,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,grocery_1,go_to_gym_1
8,3.847099578533241,0.88,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,grocery_1,drink_coffee_1
9,0.9990491231810863,0.04,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,tennis_1,skiing_1
10,0.9313801911466502,0.02,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,tennis_1,podcast_1
11,1.5956843423745095,0.1,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,tennis_1,driving_1
12,1.977830556993412,0.24,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,tennis_1,cook_at_home_1
13,1.899554481602097,0.18,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,tennis_1,dairy_products_1
14,1.788599487862466,0.15,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,tennis_1,go_to_gym_1
15,1.999301190046443,0.22,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,tennis_1,drink_coffee_1
16,1.3169064640978476,0.08,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,skiing_1,podcast_1
17,2.1795614008386464,0.38,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,skiing_1,driving_1
18,2.7517769315632115,0.65,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,skiing_1,cook_at_home_1
19,2.4192439763952995,0.44,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,skiing_1,dairy_products_1
20,1.6858204715000835,0.15,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,skiing_1,go_to_gym_1
21,2.9684473704404053,0.66,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,skiing_1,drink_coffee_1
22,2.1520399304667626,0.31,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,podcast_1,driving_1
23,2.936873943925371,0.66,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,podcast_1,cook_at_home_1
24,2.4599777602344797,0.48,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,podcast_1,dairy_products_1
25,2.157689554079192,0.35,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,podcast_1,go_to_gym_1
26,2.9755950836864686,0.63,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,podcast_1,drink_coffee_1
27,3.673232396079677,0.83,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,driving_1,cook_at_home_1
